Generation 0
[[16, [7, 1], False, [1, 1], 8, [5, 3], False, [4, 1], False, <function relu at 0x7fec73e4e9d8>, True], [128, [5, 1], False, [1, 1], 64, [5, 1], False, [4, 1], True, <function relu at 0x7fec73e4e9d8>, False]] : 0.0586971789598465
[[32, [5, 3], False, [1, 1], 32, [7, 1], True, [1, 1], False, <function selu at 0x7fec73e7c2f0>, True], [96, [5, 1], False, [4, 1], 96, [3, 1], True, [4, 1], False, <function selu at 0x7fec73e7c2f0>, False]] : 0.0641569271683693
[[64, [7, 1], True, [1, 1], 8, [3, 1], True, [1, 1], False, <function relu at 0x7fec73e4e9d8>, True], [64, [3, 1], True, [1, 1], 16, [5, 1], False, [4, 1], False, <function relu at 0x7fec73e4e9d8>, False]] : 0.06481506675481796
[[16, [7, 3], False, [1, 1], 16, [7, 3], True, [1, 1], True, <function selu at 0x7fec73e7c2f0>, False], [16, [7, 1], False, [1, 1], 8, [3, 1], False, [1, 1], False, <function selu at 0x7fec73e7c2f0>, False]] : 0.06323768198490143
[[16, [7, 1], False, [1, 1], 8, [3, 3], True, [1, 1], False, <function relu at 0x7fec73e4e9d8>, True], [32, [5, 1], True, [1, 1], 64, [5, 1], False, [2, 1], False, <function relu at 0x7fec73e4e9d8>, True]] : 0.056362371891736984
[[128, [7, 1], True, [1, 1], 8, [3, 1], True, [1, 1], False, <function selu at 0x7fec73e7c2f0>, True], [128, [5, 1], False, [2, 1], 32, [7, 1], True, [4, 1], False, <function selu at 0x7fec73e7c2f0>, False]] : 0.24725233018398285
[[64, [7, 1], True, [1, 1], 8, [5, 5], True, [2, 1], False, <function relu at 0x7fec73e4e9d8>, True], [16, [5, 1], True, [4, 1], 32, [7, 1], True, [4, 1], True, <function relu at 0x7fec73e4e9d8>, False]] : 0.06731397658586502
[[32, [5, 3], False, [1, 1], 8, [7, 1], False, [1, 1], False, <function selu at 0x7fec73e7c2f0>, True], [128, [3, 1], True, [1, 1], 16, [3, 1], False, [1, 1], False, <function selu at 0x7fec73e7c2f0>, False]] : 0.051984746009111404
[[8, [5, 5], False, [1, 1], 96, [7, 3], False, [1, 1], False, <function relu6 at 0x7fecde786048>, True], [64, [3, 1], True, [4, 1], 96, [5, 1], True, [2, 1], True, <function relu6 at 0x7fecde786048>, False]] : 0.40853339433670044
[[96, [5, 5], False, [1, 1], 64, [7, 1], True, [1, 1], False, <function selu at 0x7fec73e7c2f0>, True], [32, [7, 1], True, [1, 1], 128, [5, 1], False, [2, 1], True, <function selu at 0x7fec73e7c2f0>, False]] : 0.044955018907785416
[[64, [7, 1], False, [2, 1], 8, [3, 1], True, [1, 1], False, <function relu at 0x7fec73e4e9d8>, True], [32, [3, 1], True, [4, 1], 96, [3, 1], True, [1, 1], True, <function relu at 0x7fec73e4e9d8>, True]] : 0.059165045619010925
[[96, [5, 3], False, [2, 1], 64, [3, 1], True, [1, 1], True, <function selu at 0x7fec73e7c2f0>, True], [16, [3, 1], False, [2, 1], 64, [7, 1], True, [4, 1], False, <function selu at 0x7fec73e7c2f0>, False]] : 0.13187669217586517
[[32, [7, 1], False, [1, 1], 8, [7, 1], True, [1, 1], False, <function relu at 0x7fec73e4e9d8>, True], [128, [7, 1], True, [2, 1], 128, [7, 1], True, [2, 1], False, <function relu at 0x7fec73e4e9d8>, True]] : 0.40853214263916016
[[64, [7, 1], False, [1, 1], 16, [7, 1], True, [1, 1], False, <function relu at 0x7fec73e4e9d8>, True], [96, [5, 1], True, [4, 1], 96, [7, 1], False, [1, 1], False, <function relu at 0x7fec73e4e9d8>, True]] : 0.061658915132284164
